
[34m[1mSearching mdm in /home/jpalacio/Work/analysis/MDM_V00_03 (MDMSSYS)[0m

[33m[1mLoading '/home/jpalacio/Work/analysis/MDM_V00_03/libmdm.so[0m[33m[1m done.
[0m
[32mWelcome to the mdm Root environment.[0m


Processing plotDMprofile_quim.C...
0 0
0.0003 1.27118e+15
0.0006 4.87295e+15
0.0009 1.05537e+16
0.0012 1.81165e+16
0.0015 2.7399e+16
0.0018 3.82632e+16
0.0021 5.05896e+16
0.0024 6.42726e+16
0.0027 7.92195e+16
0.003 9.53468e+16
0.0033 1.12578e+17
0.0036 1.30845e+17
0.0039 1.50085e+17
0.0042 1.7024e+17
0.0045 1.91256e+17
0.0048 2.13087e+17
0.0051 2.35688e+17
0.0054 2.5901e+17
0.0057 2.83021e+17
0.006 3.07682e+17
0.0063 3.3296e+17
0.0066 3.58819e+17
0.0069 3.85232e+17
0.0072 4.12168e+17
0.0075 4.39603e+17
0.0078 4.67511e+17
0.0081 4.95869e+17
0.0084 5.2465e+17
0.0087 5.53838e+17
0.009 5.83412e+17
0.0093 6.13347e+17
0.0096 6.43631e+17
0.0099 6.74246e+17
0.0102 7.05175e+17
0.0105 7.36399e+17
0.0108 7.67907e+17
0.0111 7.99682e+17
0.0114 8.31715e+17
0.0117 8.6399e+17
0.012 8.9649e+17
0.0123 9.29209e+17
0.0126 9.62137e+17
0.0129 9.95256e+17
0.0132 1.02856e+18
0.0135 1.06204e+18
0.0138 1.09569e+18
0.0141 1.12949e+18
0.0144 1.16344e+18
0.0147 1.19753e+18
0.015 1.23175e+18
0.0153 1.26609e+18
0.0156 1.30055e+18
0.0159 1.33512e+18
0.0162 1.36979e+18
0.0165 1.40456e+18
0.0168 1.43941e+18
0.0171 1.47435e+18
0.0174 1.50936e+18
0.0177 1.54445e+18
0.018 1.5796e+18
0.0183 1.61481e+18
0.0186 1.65008e+18
0.0189 1.68539e+18
0.0192 1.72076e+18
0.0195 1.75616e+18
0.0198 1.7916e+18
0.0201 1.82707e+18
0.0204 1.86258e+18
0.0207 1.89811e+18
0.021 1.93365e+18
0.0213 1.96922e+18
0.0216 2.0048e+18
0.0219 2.04039e+18
0.0222 2.07599e+18
0.0225 2.11159e+18
0.0228 2.14719e+18
0.0231 2.18279e+18
0.0234 2.21839e+18
0.0237 2.25398e+18
0.024 2.28955e+18
0.0243 2.32512e+18
0.0246 2.36067e+18
0.0249 2.3962e+18
0.0252 2.43171e+18
0.0255 2.4672e+18
0.0258 2.50267e+18
0.0261 2.53811e+18
0.0264 2.57352e+18
0.0267 2.6089e+18
0.027 2.64425e+18
0.0273 2.67956e+18
0.0276 2.71484e+18
0.0279 2.75008e+18
0.0282 2.78528e+18
0.0285 2.82044e+18
0.0288 2.85556e+18
0.0291 2.89063e+18
0.0294 2.92566e+18
0.0297 2.96066e+18
0.03 2.99558e+18
0.0303 3.03046e+18
0.0306 3.0653e+18
0.0309 3.10008e+18
0.0312 3.13481e+18
0.0315 3.16949e+18
0.0318 3.20412e+18
0.0321 3.23868e+18
0.0324 3.27319e+18
0.0327 3.30765e+18
0.033 3.34203e+18
0.0333 3.37636e+18
0.0336 3.41063e+18
0.0339 3.44484e+18
0.0342 3.47899e+18
0.0345 3.51308e+18
0.0348 3.5471e+18
0.0351 3.58105e+18
0.0354 3.61494e+18
0.0357 3.64877e+18
0.036 3.68253e+18
0.0363 3.71623e+18
0.0366 3.74987e+18
0.0369 3.78341e+18
0.0372 3.81689e+18
0.0375 3.85031e+18
0.0378 3.88365e+18
0.0381 3.91693e+18
0.0384 3.95013e+18
0.0387 3.98327e+18
0.039 4.01633e+18
0.0393 4.04932e+18
0.0396 4.08223e+18
0.0399 4.11508e+18
0.0402 4.14785e+18
0.0405 4.18054e+18
0.0408 4.21317e+18
0.0411 4.24571e+18
0.0414 4.27819e+18
0.0417 4.3106e+18
0.042 4.34291e+18
0.0423 4.37515e+18
0.0426 4.40733e+18
0.0429 4.43942e+18
